iter	Logloss
0	0.6274613219
1	0.5477393014
2	0.4695366203
3	0.4127542322
4	0.3604017481
5	0.3163545287
6	0.2802781192
7	0.2415788824
8	0.2172385872
9	0.1911145867
10	0.1720873102
11	0.1497774991
12	0.1336951565
13	0.123965251
14	0.1122110045
15	0.1005891329
16	0.08987779122
17	0.08067351502
18	0.07328485514
19	0.06909520905
20	0.06377554559
21	0.0610604472
22	0.05841262619
23	0.05416652134
24	0.05089615227
25	0.04817659824
26	0.04503679276
27	0.04269105119
28	0.03866923939
29	0.03707153147
30	0.03375230826
31	0.03137246974
32	0.03013397811
33	0.02870344806
34	0.02725858193
35	0.02555564007
36	0.02461457562
37	0.02328415815
38	0.02156460595
39	0.02070372136
40	0.01991982119
41	0.01946290128
42	0.01880017813
43	0.01829264381
44	0.01792709704
45	0.01674598533
46	0.01595186568
47	0.01567230596
48	0.01509254165
49	0.01418077172
50	0.01335541304
51	0.01314871652
52	0.01288075494
53	0.01239008563
54	0.01217936773
55	0.01181556033
56	0.01148285107
57	0.0112069582
58	0.01094279351
59	0.01075045319
60	0.01047713571
61	0.01026475584
62	0.009948290788
63	0.009697666416
64	0.009585798561
65	0.009457272369
66	0.009286733417
67	0.009098161351
68	0.009010614513
69	0.008832861851
70	0.008713956003
71	0.008610912732
72	0.008488836227
73	0.00822521572
74	0.008081960988
75	0.007970788262
76	0.007850046282
77	0.007698790594
78	0.007590562492
79	0.007481997663
80	0.007381033588
81	0.007169663906
82	0.007006196233
83	0.006814049436
84	0.006547410767
85	0.006442874283
86	0.006375152569
87	0.006279430606
88	0.006201225442
89	0.006045167322
90	0.005941671597
91	0.005798608452
92	0.005660458819
93	0.005589504134
94	0.005451742318
95	0.005319860849
96	0.005265126368
97	0.005199719559
98	0.005129869108
99	0.005076369682
100	0.004992983558
101	0.004934082945
102	0.004916084664
103	0.004835130332
104	0.004734713923
105	0.00466951844
106	0.00463483202
107	0.004555320585
108	0.004464047683
109	0.004331997463
110	0.004286311664
111	0.004200422919
112	0.004173401114
113	0.004129309159
114	0.004082567893
115	0.004040028755
116	0.003991066635
117	0.00395841645
118	0.003933958032
119	0.003895649662
120	0.003827410859
121	0.003745940212
122	0.003704741404
123	0.003681877217
124	0.003644179988
125	0.003584481292
126	0.003526514227
127	0.003502165729
128	0.003476127402
129	0.003440402545
130	0.00338205192
131	0.003355220928
132	0.003340095669
133	0.00329792964
134	0.003265776417
135	0.003238121023
136	0.003211188626
137	0.003170433757
138	0.003149802809
139	0.003120392561
140	0.003094426223
141	0.003074093879
142	0.00304587824
143	0.003018199236
144	0.002996486116
145	0.00297333513
146	0.002955168486
147	0.002929305101
148	0.002902033074
149	0.002869680717
150	0.002845179725
151	0.002821309226
152	0.002802677356
153	0.002785132303
154	0.002761738641
155	0.002731891422
156	0.002709504072
157	0.002687426357
158	0.002665906758
159	0.002644805165
160	0.002627664379
161	0.002607040591
162	0.002586334944
163	0.002566145225
164	0.002546455566
165	0.00252698478
166	0.002507855366
167	0.002488919667
168	0.002470395975
169	0.00245220727
170	0.002434203377
171	0.002416572788
172	0.002402140142
173	0.002385238548
174	0.002367872503
175	0.002350853442
176	0.002334261095
177	0.002318085014
178	0.002302008403
179	0.002285872961
180	0.002269952522
181	0.002254721213
182	0.002239508675
183	0.002224451342
184	0.002209414329
185	0.002197216858
186	0.002182996505
187	0.002168270288
188	0.002154344862
189	0.002140246235
190	0.002126339775
191	0.002112308493
192	0.002099165475
193	0.002085792941
194	0.002072649923
195	0.002059503422
196	0.00204683937
197	0.002034157708
198	0.002021534683
199	0.002009166332
200	0.001997013177
201	0.001985030515
202	0.001973009342
203	0.001961121698
204	0.001949695024
205	0.001938033801
206	0.001926506301
207	0.001915411129
208	0.001904203907
209	0.001893131377
210	0.001882253142
211	0.001871492956
212	0.001860885264
213	0.001850423101
214	0.00184001164
215	0.001829684748
216	0.0018195328
217	0.00180976925
218	0.001799464613
219	0.001789555341
220	0.001779747474
221	0.001770325295
222	0.001761018069
223	0.001751222781
224	0.00174213075
225	0.001732782497
226	0.001723895212
227	0.001714769896
228	0.00170732783
229	0.001698451189
230	0.001689576677
231	0.001682582807
232	0.001673878787
233	0.001666870791
234	0.001658363582
235	0.001649898368
236	0.001641667702
237	0.001633489674
238	0.001625332933
239	0.001617419449
240	0.001609141563
241	0.001601308584
242	0.001594849608
243	0.001587284173
244	0.001580899799
245	0.001573257148
246	0.001567453436
247	0.001559757857
248	0.001553701309
249	0.001547686659
250	0.001540180151
251	0.001534501163
252	0.001528637556
253	0.00152286713
254	0.001517376536
255	0.001511540409
256	0.001506006563
257	0.001500529515
258	0.001494825854
259	0.001489247788
